Id_harcerza;Poczatek_dzial;Koniec_dzial;Id_sprawnosci;L_punktow
H102;2017-03-15;2017-03-15;S1;337
H127;2017-03-15;2017-03-18;S5;665
H047;2017-03-15;2017-03-18;S2;153
H034;2017-03-16;2017-03-18;S3;177
H094;2017-03-16;2017-03-16;S6;21
H041;2017-03-17;2017-03-20;S4;431
H018;2017-03-17;2017-03-20;S2;167
H134;2017-03-17;2017-03-18;S6;53
H116;2017-03-20;2017-03-23;S2;539
H067;2017-03-20;2017-03-22;S3;498
H068;2017-03-20;2017-03-20;S1;109
H106;2017-03-21;2017-03-23;S2;302
H074;2017-03-21;2017-03-23;S2;166
H054;2017-03-22;2017-03-22;S4;296
H090;2017-03-22;2017-03-25;S4;73
H068;2017-03-23;2017-03-24;S4;299
H022;2017-03-24;2017-03-26;S2;479
H140;2017-03-24;2017-03-27;S1;326
H038;2017-03-24;2017-03-25;S1;147
H130;2017-03-27;2017-03-30;S3;145
H005;2017-03-27;2017-03-30;S1;275
H123;2017-03-27;2017-03-29;S3;709
H033;2017-03-28;2017-03-28;S1;420
H138;2017-03-29;2017-03-31;S1;503
H090;2017-03-29;2017-04-01;S5;1263
H042;2017-03-30;2017-04-02;S3;241
H005;2017-03-30;2017-04-02;S3;1079
H157;2017-03-30;2017-04-01;S3;78
H037;2017-03-31;2017-04-03;S6;99
H034;2017-03-31;2017-04-02;S4;55
H100;2017-04-03;2017-04-06;S2;137
H048;2017-04-03;2017-04-06;S2;233
H157;2017-04-04;2017-04-07;S1;395
H091;2017-04-04;2017-04-05;S2;150
H068;2017-04-04;2017-04-05;S3;317
H027;2017-04-05;2017-04-08;S2;107
H053;2017-04-05;2017-04-06;S4;138
H082;2017-04-06;2017-04-09;S2;587
H063;2017-04-06;2017-04-09;S4;71
H005;2017-04-07;2017-04-09;S2;102
H169;2017-04-07;2017-04-08;S1;239
H148;2017-04-10;2017-04-13;S5;499
H056;2017-04-10;2017-04-13;S1;175
H109;2017-04-10;2017-04-12;S4;54
H112;2017-04-10;2017-04-13;S2;152
H142;2017-04-11;2017-04-14;S2;286
H095;2017-04-11;2017-04-14;S3;472
H014;2017-04-11;2017-04-12;S3;278
H156;2017-04-12;2017-04-15;S5;803
H075;2017-04-12;2017-04-14;S1;304
H043;2017-04-13;2017-04-16;S1;409
H092;2017-04-13;2017-04-16;S4;59
H031;2017-04-14;2017-04-16;S1;473
H103;2017-04-14;2017-04-17;S1;243
H030;2017-04-17;2017-04-20;S1;447
H122;2017-04-17;2017-04-20;S2;160
H171;2017-04-18;2017-04-20;S1;437
H082;2017-04-18;2017-04-20;S4;29
H020;2017-04-19;2017-04-22;S1;155
H111;2017-04-19;2017-04-19;S6;14
H067;2017-04-19;2017-04-22;S1;159
H044;2017-04-20;2017-04-23;S1;467
H109;2017-04-20;2017-04-22;S1;162
H015;2017-04-21;2017-04-21;S1;374
H152;2017-04-21;2017-04-23;S4;70
H115;2017-04-24;2017-04-26;S1;238
H148;2017-04-24;2017-04-24;S1;376
H120;2017-04-25;2017-04-27;S2;445
H089;2017-04-25;2017-04-28;S1;359
H122;2017-04-25;2017-04-25;S4;27
H081;2017-04-26;2017-04-26;S6;16
H035;2017-04-26;2017-04-29;S1;174
H045;2017-04-26;2017-04-28;S2;155
H096;2017-04-26;2017-04-26;S1;102
H069;2017-04-27;2017-04-29;S1;145
H073;2017-04-27;2017-04-27;S1;294
H088;2017-04-28;2017-04-28;S6;391
H051;2017-04-28;2017-05-01;S3;1356
H180;2017-05-01;2017-05-04;S6;55
H106;2017-05-01;2017-05-03;S4;60
H117;2017-05-01;2017-05-03;S3;561
H052;2017-05-01;2017-05-03;S1;277
H046;2017-05-02;2017-05-04;S2;99
H109;2017-05-02;2017-05-03;S4;73
H159;2017-05-03;2017-05-06;S4;544
H017;2017-05-03;2017-05-06;S6;50
H184;2017-05-04;2017-05-04;S6;140
H046;2017-05-04;2017-05-06;S6;49
H091;2017-05-05;2017-05-08;S1;351
H052;2017-05-05;2017-05-08;S4;68
H066;2017-05-08;2017-05-11;S1;408
H148;2017-05-08;2017-05-09;S6;49
H139;2017-05-09;2017-05-12;S3;266
H011;2017-05-09;2017-05-11;S1;76
H107;2017-05-10;2017-05-13;S4;155
H058;2017-05-10;2017-05-13;S3;39
H035;2017-05-10;2017-05-12;S2;164
H126;2017-05-11;2017-05-14;S1;165
H103;2017-05-11;2017-05-14;S2;49
H165;2017-05-12;2017-05-15;S4;211
H172;2017-05-12;2017-05-12;S1;270
H018;2017-05-15;2017-05-17;S1;365
H102;2017-05-15;2017-05-18;S3;791
H129;2017-05-15;2017-05-17;S2;168
H163;2017-05-16;2017-05-19;S2;462
H092;2017-05-16;2017-05-19;S2;167
H040;2017-05-17;2017-05-19;S6;50
H104;2017-05-17;2017-05-19;S1;458
H093;2017-05-18;2017-05-20;S4;241
H099;2017-05-18;2017-05-19;S3;33
H149;2017-05-18;2017-05-19;S3;470
H129;2017-05-19;2017-05-22;S2;99
H184;2017-05-19;2017-05-21;S2;128
H185;2017-05-19;2017-05-19;S4;22
H021;2017-05-19;2017-05-19;S6;19
H065;2017-05-22;2017-05-24;S1;435
H182;2017-05-22;2017-05-24;S2;229
H143;2017-05-22;2017-05-22;S1;108
H058;2017-05-23;2017-05-24;S2;83
H053;2017-05-23;2017-05-26;S4;59
H150;2017-05-23;2017-05-23;S6;21
H014;2017-05-24;2017-05-27;S2;245
H029;2017-05-24;2017-05-27;S2;231
H178;2017-05-25;2017-05-27;S1;503
H026;2017-05-25;2017-05-28;S3;1443
H111;2017-05-26;2017-05-28;S6;603
H058;2017-05-26;2017-05-28;S3;135
H105;2017-05-29;2017-05-31;S1;457
H122;2017-05-29;2017-06-01;S4;73
H144;2017-05-30;2017-05-31;S3;186
H095;2017-05-30;2017-06-01;S1;169
H086;2017-05-31;2017-06-02;S3;318
H036;2017-05-31;2017-06-02;S4;57
H185;2017-06-01;2017-06-04;S1;211
H123;2017-06-01;2017-06-04;S2;163
H122;2017-06-02;2017-06-05;S4;183
H093;2017-06-02;2017-06-04;S2;133
H008;2017-06-05;2017-06-06;S4;249
H172;2017-06-05;2017-06-08;S5;665
H035;2017-06-06;2017-06-06;S6;458
H159;2017-06-06;2017-06-08;S1;243
H095;2017-06-07;2017-06-10;S4;249
H143;2017-06-07;2017-06-10;S3;666
H060;2017-06-08;2017-06-09;S6;340
H137;2017-06-08;2017-06-09;S3;251
H011;2017-06-09;2017-06-12;S4;57
H006;2017-06-09;2017-06-12;S2;131
H183;2017-06-12;2017-06-12;S4;25
H087;2017-06-12;2017-06-15;S2;59
H101;2017-06-13;2017-06-16;S3;63
H084;2017-06-13;2017-06-16;S3;16
H122;2017-06-13;2017-06-15;S6;55
H084;2017-06-14;2017-06-15;S3;355
H063;2017-06-14;2017-06-14;S4;18
H017;2017-06-14;2017-06-16;S3;27
H173;2017-06-15;2017-06-18;S1;267
H179;2017-06-15;2017-06-16;S2;230
H074;2017-06-16;2017-06-19;S2;104
H157;2017-06-16;2017-06-19;S1;472
H174;2017-06-19;2017-06-22;S3;449
H105;2017-06-19;2017-06-21;S6;49
H019;2017-06-19;2017-06-20;S2;154
H080;2017-06-20;2017-06-22;S3;170
H071;2017-06-20;2017-06-23;S1;286
H162;2017-06-21;2017-06-23;S2;100
H039;2017-06-21;2017-06-24;S3;666
H045;2017-06-22;2017-06-22;S1;367
H008;2017-06-22;2017-06-24;S2;229
H131;2017-06-22;2017-06-25;S3;1165
H083;2017-06-23;2017-06-25;S2;311
H094;2017-06-23;2017-06-23;S1;232
H112;2017-06-23;2017-06-26;S3;468
H077;2017-06-26;2017-06-29;S4;53
H089;2017-06-26;2017-06-28;S4;67
H153;2017-06-27;2017-06-29;S1;107
H001;2017-06-28;2017-07-01;S1;428
H118;2017-06-28;2017-06-30;S2;231
H164;2017-06-29;2017-07-01;S3;222
H171;2017-06-29;2017-07-03;S1;395
H141;2017-06-30;2017-07-03;S4;456
H159;2017-06-30;2017-07-03;S1;254
H047;2017-07-03;2017-07-05;S3;136
H087;2017-07-03;2017-07-06;S1;263
H147;2017-07-04;2017-07-05;S4;284
H079;2017-07-04;2017-07-04;S6;21
H028;2017-07-05;2017-07-06;S4;322
H022;2017-07-05;2017-07-08;S2;133
H062;2017-07-06;2017-07-09;S4;267
H094;2017-07-06;2017-07-08;S4;33
H089;2017-07-06;2017-07-06;S1;444
H113;2017-07-07;2017-07-10;S3;452
H180;2017-07-07;2017-07-08;S4;74
H017;2017-07-07;2017-07-09;S6;42
H137;2017-07-10;2017-07-13;S5;504
H084;2017-07-10;2017-07-13;S2;154
H052;2017-07-11;2017-07-13;S1;439
H121;2017-07-11;2017-07-13;S4;68
H127;2017-07-12;2017-07-15;S3;521
H006;2017-07-13;2017-07-15;S2;410
H158;2017-07-13;2017-07-16;S4;66
H099;2017-07-14;2017-07-17;S1;161
H164;2017-07-14;2017-07-17;S4;73
H055;2017-07-17;2017-07-18;S4;454
H062;2017-07-17;2017-07-19;S1;229
H063;2017-07-18;2017-07-19;S4;253
H165;2017-07-18;2017-07-21;S2;141
H003;2017-07-19;2017-07-22;S1;388
H085;2017-07-19;2017-07-21;S2;232
H121;2017-07-20;2017-07-20;S4;31
H081;2017-07-20;2017-07-23;S2;140
H134;2017-07-21;2017-07-24;S1;452
H108;2017-07-21;2017-07-21;S6;21
H015;2017-07-21;2017-07-23;S2;160
H152;2017-07-24;2017-07-27;S2;101
H165;2017-07-24;2017-07-27;S3;1243
H072;2017-07-25;2017-07-27;S3;153
H007;2017-07-26;2017-07-29;S3;408
H055;2017-07-26;2017-07-27;S1;176
H177;2017-07-27;2017-07-28;S5;1401
H140;2017-07-28;2017-07-31;S1;422
H162;2017-07-28;2017-07-30;S2;130
H098;2017-07-31;2017-08-03;S4;352
H059;2017-07-31;2017-08-03;S1;221
H131;2017-08-01;2017-08-03;S2;413
H089;2017-08-01;2017-08-04;S4;64
H089;2017-08-02;2017-08-04;S3;454
H172;2017-08-02;2017-08-02;S1;168
H002;2017-08-03;2017-08-05;S4;53
H068;2017-08-03;2017-08-04;S3;58
H078;2017-08-03;2017-08-04;S1;186
H038;2017-08-04;2017-08-05;S1;387
H126;2017-08-04;2017-08-07;S2;140
H169;2017-08-07;2017-08-10;S1;278
H108;2017-08-07;2017-08-08;S3;61
H087;2017-08-08;2017-08-09;S1;183
H179;2017-08-09;2017-08-11;S3;20
H061;2017-08-09;2017-08-12;S3;1146
H124;2017-08-09;2017-08-12;S2;150
H021;2017-08-10;2017-08-11;S4;44
H066;2017-08-10;2017-08-13;S3;95
H012;2017-08-11;2017-08-13;S3;458
H059;2017-08-14;2017-08-16;S3;359
H175;2017-08-14;2017-08-17;S3;517
H126;2017-08-14;2017-08-14;S4;21
H053;2017-08-15;2017-08-16;S6;193
H037;2017-08-15;2017-08-15;S1;132
H010;2017-08-16;2017-08-17;S2;542
H166;2017-08-16;2017-08-19;S5;1264
H032;2017-08-17;2017-08-20;S6;247
H186;2017-08-17;2017-08-18;S6;57
H150;2017-08-18;2017-08-21;S2;436
H082;2017-08-18;2017-08-20;S3;921
H087;2017-08-18;2017-08-20;S2;158
H073;2017-08-21;2017-08-22;S6;55
H183;2017-08-21;2017-08-23;S4;66
H182;2017-08-22;2017-08-23;S2;100
H007;2017-08-22;2017-08-22;S4;25
H166;2017-08-23;2017-08-26;S3;277
H061;2017-08-23;2017-08-25;S3;743
H103;2017-08-24;2017-08-24;S6;132
H173;2017-08-24;2017-08-26;S6;46
H108;2017-08-25;2017-08-26;S3;139
H123;2017-08-25;2017-08-28;S1;237
H026;2017-08-25;2017-08-27;S2;158
H181;2017-08-28;2017-08-31;S5;800
H017;2017-08-28;2017-08-30;S4;69
H075;2017-08-29;2017-08-31;S3;280
H096;2017-08-29;2017-08-31;S3;46
H018;2017-08-29;2017-09-01;S4;56
H057;2017-08-29;2017-08-30;S1;239
H117;2017-08-30;2017-08-31;S1;157
H184;2017-08-30;2017-09-01;S3;914
H172;2017-08-31;2017-09-03;S2;552
H042;2017-08-31;2017-09-02;S2;233
H064;2017-09-01;2017-09-03;S1;406
H085;2017-09-01;2017-09-04;S1;161
H111;2017-09-01;2017-09-03;S3;311
H136;2017-09-04;2017-09-07;S3;326
H112;2017-09-04;2017-09-04;S1;289
H161;2017-09-05;2017-09-08;S1;158
H146;2017-09-05;2017-09-07;S2;232
H061;2017-09-07;2017-09-11;S1;278
H129;2017-09-07;2017-09-10;S4;73
H023;2017-09-08;2017-09-10;S2;593
H161;2017-09-08;2017-09-09;S1;281
H112;2017-09-11;2017-09-13;S5;508
H140;2017-09-11;2017-09-14;S1;283
H023;2017-09-11;2017-09-14;S3;607
H097;2017-09-15;2017-09-17;S2;138
H161;2017-09-15;2017-09-18;S5;1264
H064;2017-09-15;2017-09-16;S1;145
H184;2017-09-15;2017-09-16;S5;666
H067;2017-09-18;2017-09-21;S3;446
H015;2017-09-18;2017-09-21;S6;59
H074;2017-09-18;2017-09-20;S1;145
H025;2017-09-19;2017-09-22;S3;1227
H159;2017-09-19;2017-09-22;S6;52
H160;2017-09-20;2017-09-23;S2;99
H054;2017-09-20;2017-09-23;S1;269
H034;2017-09-21;2017-09-24;S1;221
H184;2017-09-21;2017-09-24;S2;139
H138;2017-09-22;2017-09-25;S3;551
H157;2017-09-25;2017-09-28;S3;919
H100;2017-09-25;2017-09-25;S1;201
H112;2017-09-25;2017-09-27;S4;66
H031;2017-09-26;2017-09-29;S1;187
H167;2017-09-26;2017-09-27;S1;291
H086;2017-09-26;2017-09-27;S2;150
H171;2017-09-27;2017-09-27;S1;372
H009;2017-09-27;2017-09-29;S2;125
H085;2017-09-28;2017-09-30;S3;233
H092;2017-09-28;2017-10-01;S2;108
H044;2017-09-28;2017-10-02;S1;360
H164;2017-09-28;2017-10-01;S3;322
H073;2017-09-28;2017-09-30;S3;718
H028;2017-09-28;2017-09-29;S1;211
H038;2017-09-28;2017-09-28;S6;18
H115;2017-09-29;2017-10-02;S4;52
H037;2017-09-29;2017-10-01;S1;248
H069;2017-10-02;2017-10-05;S2;99
H122;2017-10-02;2017-10-02;S6;19
H093;2017-10-03;2017-10-06;S3;633
H173;2017-10-03;2017-10-06;S3;1437
H087;2017-10-03;2017-10-05;S1;149
H079;2017-10-04;2017-10-06;S3;309
H105;2017-10-04;2017-10-07;S1;412
H008;2017-10-05;2017-10-08;S2;99
H115;2017-10-05;2017-10-08;S2;234
H052;2017-10-05;2017-10-07;S1;96
H001;2017-10-06;2017-10-09;S4;49
H137;2017-10-09;2017-10-12;S4;52
H166;2017-10-09;2017-10-11;S1;248
H003;2017-10-10;2017-10-12;S2;99
H019;2017-10-10;2017-10-11;S2;228
H062;2017-10-10;2017-10-13;S1;189
H121;2017-10-11;2017-10-13;S1;185
H062;2017-10-11;2017-10-14;S3;88
H122;2017-10-11;2017-10-13;S3;677
H007;2017-10-12;2017-10-14;S2;99
H145;2017-10-12;2017-10-14;S2;133
H075;2017-10-12;2017-10-15;S4;67
H044;2017-10-12;2017-10-12;S2;149
H073;2017-10-13;2017-10-15;S3;144
H023;2017-10-13;2017-10-16;S1;304
H185;2017-10-13;2017-10-15;S1;203
H026;2017-10-13;2017-10-13;S1;184
H064;2017-10-16;2017-10-18;S5;1400
H079;2017-10-17;2017-10-19;S1;117
H107;2017-10-17;2017-10-20;S1;250
H017;2017-10-18;2017-10-20;S1;232
H071;2017-10-19;2017-10-21;S1;191
H041;2017-10-19;2017-10-21;S2;134
H143;2017-10-20;2017-10-20;S4;17
H067;2017-10-20;2017-10-23;S3;1095
H089;2017-10-20;2017-10-22;S1;128
H058;2017-10-23;2017-10-25;S1;256
H160;2017-10-23;2017-10-25;S3;856
H122;2017-10-24;2017-10-26;S4;52
H020;2017-10-24;2017-10-27;S5;662
H035;2017-10-25;2017-10-27;S6;48
H074;2017-10-25;2017-10-27;S6;51
H074;2017-10-26;2017-10-28;S2;99
H062;2017-10-26;2017-10-28;S4;65
H062;2017-10-27;2017-10-29;S2;99
H112;2017-10-27;2017-10-28;S5;663
H079;2017-10-27;2017-10-30;S3;1073
H042;2017-11-07;2017-11-09;S1;241
H089;2017-11-07;2017-11-09;S1;151
H017;2017-11-07;2017-11-08;S1;177
H100;2017-11-08;2017-11-10;S3;842
H074;2017-11-08;2017-11-10;S4;52
H126;2017-11-08;2017-11-11;S3;815
H082;2017-11-09;2017-11-11;S1;175
H062;2017-11-09;2017-11-12;S3;506
H028;2017-11-09;2017-11-12;S1;288
H005;2017-11-10;2017-11-12;S1;284
H089;2017-11-10;2017-11-11;S1;229
H148;2017-11-13;2017-11-15;S3;921
H087;2017-11-13;2017-11-15;S3;201
H020;2017-11-14;2017-11-16;S1;271
H166;2017-11-14;2017-11-14;S4;19
H081;2017-11-15;2017-11-16;S3;27
H112;2017-11-15;2017-11-16;S1;453
H180;2017-11-16;2017-11-18;S4;58
H051;2017-11-16;2017-11-18;S1;276
H159;2017-11-17;2017-11-20;S4;58
H118;2017-11-17;2017-11-20;S4;60
H089;2017-11-20;2017-11-22;S5;1400
H184;2017-11-20;2017-11-21;S6;53
H133;2017-11-20;2017-11-21;S2;141
H081;2017-11-20;2017-11-23;S1;295
H087;2017-11-21;2017-11-23;S1;367
H066;2017-11-21;2017-11-23;S6;82
H048;2017-11-21;2017-11-23;S6;52
H173;2017-11-21;2017-11-24;S1;302
H166;2017-11-22;2017-11-24;S1;135
H107;2017-11-22;2017-11-25;S2;101
H102;2017-11-22;2017-11-25;S6;55
H083;2017-11-22;2017-11-22;S1;138
H126;2017-11-23;2017-11-24;S4;57
H116;2017-11-23;2017-11-24;S2;135
H165;2017-11-24;2017-11-26;S1;444
H054;2017-11-24;2017-11-26;S2;142
H018;2017-11-27;2017-11-30;S1;388
H042;2017-11-27;2017-11-30;S1;297
H173;2017-11-28;2017-11-29;S2;142
H100;2017-11-28;2017-11-29;S1;294
H112;2017-11-29;2017-12-01;S3;170
H164;2017-11-29;2017-12-01;S4;55
H082;2017-11-29;2017-12-01;S2;135
H170;2017-11-29;2017-12-02;S1;134
H116;2017-11-30;2017-12-02;S2;99
H028;2017-11-30;2017-12-03;S1;319
H054;2017-12-01;2017-12-03;S3;108
H063;2017-12-01;2017-12-01;S1;345
H107;2017-12-01;2017-12-04;S1;502
H140;2017-12-04;2017-12-06;S3;683
H059;2017-12-05;2017-12-08;S4;61
H053;2017-12-06;2017-12-07;S4;57
H103;2017-12-07;2017-12-09;S3;576
H172;2017-12-08;2017-12-11;S4;31
H161;2017-12-11;2017-12-12;S4;57
H085;2017-12-12;2017-12-14;S2;142
H061;2017-12-13;2017-12-13;S1;441
H092;2017-12-14;2017-12-15;S1;137
H067;2017-12-15;2017-12-17;S3;941
H094;2017-12-18;2017-12-21;S2;143
H026;2017-12-19;2017-12-20;S1;99
H123;2017-12-20;2017-12-22;S2;143
H130;2017-12-21;2017-12-24;S3;131
H035;2017-12-22;2017-12-23;S3;109
