Nick_klienta	Data_zakupu	ID_publikacji
1GBRAM	2017-03-04	e1179
klodzia100	2017-03-04	a1908
on_fire	2017-03-04	e1501
endrju678	2017-03-04	a1443
maja221	2017-03-04	e1844
Over	2017-03-04	e1725
atasa52	2017-03-04	e353
druka678	2017-03-04	e1174
DenS	2017-03-04	e1473
druka678	2017-03-04	e1768
atasa52	2017-03-04	e2061
pattric	2017-03-04	a843
olofmeister	2017-03-04	a450
truskawa17ed	2017-03-04	e1777
seba	2017-03-04	e152
endrju678	2017-03-04	e2094
JakubPL34	2017-03-04	a962
superman	2017-03-04	e750
noname007	2017-03-04	e448
zawszerazem4	2017-03-04	e1243
Dontlosehope	2017-03-04	a293
seba	2017-03-04	e1691
Potassium	2017-03-04	a1580
player	2017-03-04	e1436
blazkowicz	2017-03-04	e1267
flipher	2017-03-04	e1902
zaka	2017-03-04	e1971
DenS	2017-03-04	e114
Lucky	2017-03-04	a887
CAMYFR	2017-03-04	a1941
Lusia5656	2017-03-04	e740
kossar	2017-03-04	e1017
marcinek69	2017-03-04	e2085
druka678	2017-03-04	e153
mati9987	2017-03-04	a1781
passerati_20_TDI	2017-03-04	a903
Fafik97pl	2017-03-04	e1744
justforfun87	2017-03-04	e1625
Blink69	2017-03-04	e1412
ryzyko	2017-03-04	e1350
jumpjet	2017-03-04	a1080
klodzia100	2017-03-04	e1771
SilverCobra	2017-03-04	e1425
pzdr	2017-03-04	e723
hesoyam	2017-03-04	a2108
Blass	2017-03-04	a1149
oszza99	2017-03-04	e287
KennyS	2017-03-04	e491
Lusia5656	2017-03-04	a1003
kossar	2017-03-04	a1546
Sliczna00	2017-03-04	a1557
kubasek03	2017-03-04	a664
bartelok	2017-03-04	e1327
hola81	2017-03-04	a2016
SilverCobra	2017-03-04	e1537
AT123	2017-03-04	e326
MataX	2017-03-04	a329
naciafacia91	2017-03-04	e1419
Lusia5656	2017-03-04	e745
vanity	2017-03-04	e665
Zwierz9	2017-03-04	e616
piateczek2017	2017-03-04	a1349
MagikarpIsOP	2017-03-04	e324
nikolas564	2017-03-04	e1350
AestheticAF	2017-03-05	e229
jeff	2017-03-05	a871
Cryptos	2017-03-05	e1962
szalonaona99	2017-03-05	a1147
blazkowicz	2017-03-05	a1809
kossar	2017-03-05	e1436
superman	2017-03-05	e308
jumpjet	2017-03-05	e1901
marek8958	2017-03-05	e1163
RadekTV	2017-03-05	e816
pzdr	2017-03-05	e1403
Sark4zm	2017-03-05	e1854
blaskowicz	2017-03-05	e123
KennyS	2017-03-05	e1359
geslesr1021	2017-03-05	e126
martynka1234	2017-03-05	a1281
CAMYFR	2017-03-05	e1826
robaczek456	2017-03-05	e310
flipher	2017-03-05	e1081
endrju678	2017-03-05	e1550
Witu	2017-03-05	e973
SilverCobra	2017-03-05	e1598
kluskabogracz9	2017-03-05	e1159
seba_03_XD	2017-03-05	e1330
kolega69	2017-03-05	e1881
olofmeister	2017-03-05	e226
flipher	2017-03-05	a1016
sami123	2017-03-05	e950
Ktos	2017-03-05	e2066
pzdr	2017-03-05	a641
Proteam_98	2017-03-05	e404
jetmax	2017-03-05	e1958
kolega69	2017-03-05	e1558
ktosoj	2017-03-05	e687
Kasienka458	2017-03-05	e472
superman	2017-03-05	e1274
Proteam_98	2017-03-05	e1375
sami123	2017-03-05	e1305
player13532	2017-03-05	e1558
zawszerazem4	2017-03-05	e464
zgadnijktoto	2017-03-05	e1018
kolega69	2017-03-05	e545
zaka	2017-03-05	e1027
XxZorajxX	2017-03-05	a1809
rocketman	2017-03-05	e820
ktosoj	2017-03-05	e1625
UmirinBrah	2017-03-05	e1659
sami123	2017-03-05	e1993
geslesr1021	2017-03-05	e2099
geslesr1021	2017-03-05	e969
BobRoss	2017-03-05	e1530
kossar	2017-03-05	e719
SmikeS	2017-03-05	a347
vanity	2017-03-05	e1399
ryzyko	2017-03-05	e1098
jumpjet	2017-03-05	e2057
Master	2017-03-05	e1054
KennyS	2017-03-05	e2023
Dontlosehope	2017-03-05	e2035
99__IMPERATOR__99	2017-03-05	e136
MagikarpIsOP	2017-03-05	e1870
kolega69	2017-03-05	e542
ChrisPBacon	2017-03-05	e568
Oli55	2017-03-05	e675
geslesr1021	2017-03-05	e198
Sliczna00	2017-03-05	e950
ktosoj	2017-03-05	e527
ChrisPBacon	2017-03-05	e510
CorsaAMG700km	2017-03-05	e1075
niki3049	2017-03-05	e1762
Kasiunia334	2017-03-05	a1266
oli54	2017-03-05	e1993
quashai	2017-03-05	a2079
nvidiadown	2017-03-05	e2028
Oli55	2017-03-05	e476
filip1999	2017-03-05	e240
Over	2017-03-05	a260
kluskabogracz9	2017-03-05	a220
jetmax	2017-03-05	e854
SmikeS	2017-03-05	e1329
piateczek2017	2017-03-05	e960
dankfrank	2017-03-05	a599
ryzyko	2017-03-05	e356
opel342	2017-03-05	a982
besos11	2017-03-05	e1518
Blink69	2017-03-05	e2085
intelatom	2017-03-05	a348
marcinek69	2017-03-05	e442
SmikeS	2017-03-05	e858
MagikarpIsOP	2017-03-05	a556
seba	2017-03-05	e1444
intelatom	2017-03-05	a586
opel342	2017-03-05	e704
zolwik589	2017-03-05	e1881
umiemcplusplus	2017-03-05	e1867
sami123	2017-03-05	e333
HuanPablo	2017-03-05	a1439
kossar	2017-03-05	a588
Slayer	2017-03-05	a1381
21procent	2017-03-05	e2092
Oli55	2017-03-05	e1677
hesoyam	2017-03-05	e1082
RadekTV	2017-03-05	e2106
miro99	2017-03-05	e1753
shaq	2017-03-05	a1224
druka678	2017-03-05	e924
Lucky	2017-03-05	a1113
marti989	2017-03-05	e1957
oli54	2017-03-05	e128
ktosoj	2017-03-05	a1927
GR00VY	2017-03-05	e1995
AT123	2017-03-05	a1767
Fafik97pl	2017-03-05	e113
Lucky	2017-03-05	e262
vanity	2017-03-05	e236
flipher	2017-03-05	e590
geslesr1021	2017-03-05	e1313
KennyS	2017-03-05	e1764
dankfrank	2017-03-05	e1249
maja221	2017-03-05	e1059
shaq	2017-03-05	e580
michu1999	2017-03-05	e239
endrju678	2017-03-05	e1462
Sark4zm	2017-03-05	e892
RadekTV	2017-03-05	e2109
Proteam_98	2017-03-05	e1725
Lusia5656	2017-03-05	e1522
ambitna007	2017-03-05	a509
szalonaona99	2017-03-06	e1061
klodzia07	2017-03-06	e1065
tomeq	2017-03-06	e1155
bartelok	2017-03-06	e862
marti989	2017-03-06	e1734
HuanPablo	2017-03-06	a1499
kolega69	2017-03-06	e1937
hola81	2017-03-06	e749
fr3sh	2017-03-06	e1124
atasa52	2017-03-06	a871
core2duo	2017-03-06	e992
Fafik97pl	2017-03-06	e501
marti989	2017-03-06	e1369
seba_03_XD	2017-03-06	e646
pizzamoimzyciem22	2017-03-06	e1035
SilverCobra	2017-03-06	e1905
seba	2017-03-06	e2046
martynka1234	2017-03-06	a389
Delior	2017-03-06	a1704
michu1999	2017-03-06	a1152
flipher	2017-03-06	e1608
Lucky	2017-03-06	a1091
seba_03_XD	2017-03-06	e702
KennyS	2017-03-06	a1603
rocketman	2017-03-06	e631
shaq	2017-03-06	e2062
Proteam_98	2017-03-06	e950
803WIRTUS803	2017-03-06	e1547
umiemcplusplus	2017-03-06	e646
vanity	2017-03-06	e342
Oli55	2017-03-06	e360
Master	2017-03-06	e786
Gnusmas	2017-03-06	a1236
Master	2017-03-06	e1321
sami123	2017-03-06	a876
oli54	2017-03-06	e2076
ChrisPBacon	2017-03-06	e713
Dontlosehope	2017-03-06	e983
Fafik97pl	2017-03-06	e959
hesoyam	2017-03-06	a827
CAMYFR	2017-03-06	a839
intelatom	2017-03-06	e401
seba	2017-03-06	e222
Kasienka456	2017-03-06	e1602
rocketman	2017-03-06	e1988
Fafik97pl	2017-03-06	a1737
Ktos	2017-03-06	e1312
BobRoss	2017-03-07	e126
Kasienka456	2017-03-07	a2029
Zenek512	2017-03-07	a1076
GR00VY	2017-03-07	a1899
Cryptos	2017-03-07	a843
opel342	2017-03-07	a940
Master	2017-03-07	e615
seba	2017-03-07	a1655
Snax	2017-03-07	e899
marek8958	2017-03-07	e1135
bigos00	2017-03-07	e577
Lucky	2017-03-07	e162
pattric	2017-03-07	e240
mati9987	2017-03-07	e1092
marcinek69	2017-03-07	a1099
memelord	2017-03-07	e418
umiemcplusplus	2017-03-07	e1749
Witu	2017-03-07	e1043
franianiania00	2017-03-07	e363
BobRoss	2017-03-07	a405
seba_03_XD	2017-03-07	a1898
michu1999	2017-03-07	a1426
seba_03_XD	2017-03-07	a759
HuanPablo	2017-03-07	e1341
maja883	2017-03-07	e661
KennyS	2017-03-07	e729
umiemcplusplus	2017-03-07	e1054
MagikarpIsOP	2017-03-07	e1203
franianiania00	2017-03-07	a599
2foru	2017-03-07	e162
flipher	2017-03-07	a115
JakubPL34	2017-03-07	e1216
agatek602	2017-03-07	e242
memelord	2017-03-07	a1186
kossar	2017-03-07	a224
maja221	2017-03-07	e1528
flipher	2017-03-07	a1852
Delior	2017-03-07	e520
piateczek2017	2017-03-07	a763
piateczek2017	2017-03-07	e305
Blink69	2017-03-07	e1501
klodzia07	2017-03-07	a2112
zawszerazem4	2017-03-07	e154
Proteam_98	2017-03-07	e414
Sychu25	2017-03-07	e1306
seba_03_XD	2017-03-07	a1808
803WIRTUS803	2017-03-07	e1057
mati9987	2017-03-07	e1026
Delior	2017-03-07	e1005
intelatom	2017-03-07	a1557
HuanPablo	2017-03-07	e1123
Koper7	2017-03-07	e1874
zaka	2017-03-07	e1377
flipher	2017-03-07	a1228
bigos00	2017-03-07	e1049
ktosoj	2017-03-07	a362
Witu	2017-03-07	e1442
intelatom	2017-03-07	e1517
sami123	2017-03-07	e435
marcinek223	2017-03-07	e111
hola81	2017-03-07	e1112
jumpjet	2017-03-07	e957
Lucky	2017-03-07	e257
Proteam_98	2017-03-07	a1627
sami123	2017-03-07	a1571
pzdr	2017-03-07	e656
Flacuszek	2017-03-07	a1570
jagoda890	2017-03-07	e1020
flipher	2017-03-07	a167
KennyS	2017-03-07	a115
core2duo	2017-03-07	e1677
flipher	2017-03-07	e672
superstopy	2017-03-07	e1948
Dontlosehope	2017-03-07	e1238
seba_03_XD	2017-03-07	e2084
RadekTV	2017-03-07	e1643
Gosiaczeq	2017-03-07	e155
michu1999	2017-03-07	e1958
marcinek223	2017-03-07	e436
memelord	2017-03-07	e507
druka678	2017-03-07	e1617
zolwik589	2017-03-07	e1765
BobRoss	2017-03-07	e1604
intelatom	2017-03-07	e1417
Kasienka456	2017-03-07	e376
Kasienka456	2017-03-07	e214
Fafik97pl	2017-03-07	a1510
player	2017-03-07	a856
piateczek2017	2017-03-07	e746
noname007	2017-03-07	a753
rocketman	2017-03-07	e453
ambitna007	2017-03-07	e1238
2foru	2017-03-07	e778
memelord	2017-03-07	e1649
oszza99	2017-03-07	e699
atasa52	2017-03-07	e1254
ryzyko	2017-03-07	e1183
oszza99	2017-03-07	a108
ambitna007	2017-03-07	a553
Flacuszek	2017-03-07	e999
klodzia07	2017-03-07	e1405
AestheticAF	2017-03-07	a1593
pogromca	2017-03-07	e162
klodzia100	2017-03-07	a1965
miro99	2017-03-07	e1487
2foru	2017-03-07	e829
zawszerazem4	2017-03-07	e1623
BobRoss	2017-03-07	e192
Master	2017-03-07	e824
oszza99	2017-03-07	e768
Fafik97pl	2017-03-07	e1500
olofmeister	2017-03-07	a506
Proteam_98	2017-03-07	e2081
core2duo	2017-03-07	e1141
player	2017-03-07	a1678
mati9987	2017-03-07	a807
marti989	2017-03-07	a1443
miro99	2017-03-07	a519
piateczek2017	2017-03-07	e1900
endrju678	2017-03-07	e1535
RadekTV	2017-03-07	e918
OptimusPrime123	2017-03-07	a1831
ryzyko	2017-03-07	e1959
Fafik97pl	2017-03-07	e961
BobRoss	2017-03-07	e1431
Flacuszek	2017-03-07	e899
sami123	2017-03-07	e123
klodzia07	2017-03-07	e462
Proteam_98	2017-03-07	e1023
SilverCobra	2017-03-07	e1698
99__IMPERATOR__99	2017-03-07	a351
Master	2017-03-07	e1412
Sliczna00	2017-03-07	a936
Zwierz9	2017-03-07	e1900
szalonaona99	2017-03-07	e1632
jumpjet	2017-03-07	e650
mati9987	2017-03-07	e1963
jetmax	2017-03-07	e1019
justforfun87	2017-03-08	a1476
Witu	2017-03-08	e1765
Blejd	2017-03-08	e1638
noname007	2017-03-08	e750
kluskabogracz9	2017-03-08	e529
niki3049	2017-03-08	a955
Dontlosehope	2017-03-08	a735
sami123	2017-03-08	a897
Proteam_98	2017-03-08	e655
Blass	2017-03-08	e838
Dontlosehope	2017-03-08	a420
Kasienka456	2017-03-08	e1600
core2duo	2017-03-08	a233
Proteam_98	2017-03-08	a348
Slayer	2017-03-08	e1503
atasa52	2017-03-08	a1037
Kasienka456	2017-03-08	a1069
Slayer	2017-03-08	e148
Blink69	2017-03-08	a1037
1GBRAM	2017-03-08	e873
2foru	2017-03-08	e617
sarna515	2017-03-08	e1648
hola81	2017-03-08	e477
pzdr	2017-03-08	e1084
martynka1234	2017-03-08	e113
jagoda890	2017-03-08	e584
Slayer	2017-03-08	e612
KennyS	2017-03-08	e1159
Delior	2017-03-08	e2056
endrju678	2017-03-08	a514
player	2017-03-08	e1104
AT123	2017-03-08	e447
seba	2017-03-08	a556
robaczek456	2017-03-08	e1714
KennyS	2017-03-08	a519
_superliwia_	2017-03-08	a1182
ryzyko	2017-03-08	e1894
noname007	2017-03-08	e484
Lusia5656	2017-03-08	e560
Flacuszek	2017-03-08	e673
Proteam_98	2017-03-08	a946
Gosiaczeq	2017-03-08	e1153
aezakmi	2017-03-08	e1425
DeFantom	2017-03-08	e638
noname007	2017-03-08	a1149
jumpjet	2017-03-08	e1193
Proteam_98	2017-03-08	e226
AT123	2017-03-08	e291
matis213	2017-03-08	e1378
Kasienka458	2017-03-09	a657
martynka1234	2017-03-09	e352
Cryptos	2017-03-09	e781
hesoyam	2017-03-09	e1547
Kasienka456	2017-03-09	e873
zawszerazem4	2017-03-09	e2083
klodzia07	2017-03-09	a144
OptimusPrime123	2017-03-09	a1160
mati9987	2017-03-09	e2012
KennyS	2017-03-09	a144
intelatom	2017-03-09	a1724
Lucky	2017-03-09	a1152
olofmeister	2017-03-09	a1428
DeFantom	2017-03-09	e163
Zenek512	2017-03-09	a552
shaq	2017-03-09	a1713
hola81	2017-03-09	e1335
seba_03_XD	2017-03-09	e1754
ktosoj	2017-03-09	e1709
Delior	2017-03-09	e734
vanity	2017-03-09	a1633
martynka1234	2017-03-09	e197
zawszerazem4	2017-03-09	e1951
Delior	2017-03-09	a1281
geslesr1021	2017-03-09	e543
maja221	2017-03-09	e752
player13532	2017-03-09	e1662
noname007	2017-03-09	e1925
RadekTV	2017-03-09	e938
Delior	2017-03-09	e532
kolega69	2017-03-09	e531
on_fire	2017-03-09	e192
jumpjet	2017-03-09	a1603
bartelok	2017-03-09	e1029
sami123	2017-03-09	e421
Potassium	2017-03-09	a889
player	2017-03-09	a168
kolega69	2017-03-09	e387
vanity	2017-03-09	e743
atasa52	2017-03-09	a137
ChrisPBacon	2017-03-09	a264
BobRoss	2017-03-09	e813
vanity	2017-03-09	e1356
intelatom	2017-03-09	e1591
martynka1234	2017-03-09	e513
Witu	2017-03-09	a1616
Fubu	2017-03-09	e2080
hola81	2017-03-09	e892
maja221	2017-03-09	a1326
vanity	2017-03-09	e1743
pogromca	2017-03-09	e1848
komarek623	2017-03-09	e632
MataX	2017-03-09	e541
pzdr	2017-03-09	a825
PauloCoelho	2017-03-09	e1455
AestheticAF	2017-03-09	e853
kluskabogracz9	2017-03-09	e132
oszza99	2017-03-09	e652
komarek623	2017-03-09	e1526
MagikarpIsOP	2017-03-09	e2071
1GBRAM	2017-03-09	e391
zolwik589	2017-03-09	e1505
geslesr1021	2017-03-09	e1963
robaczek456	2017-03-09	e857
AdibA	2017-03-09	a1866
jumpjet	2017-03-09	e286
ryzyko	2017-03-09	e1505
player	2017-03-09	e1425
superman	2017-03-09	e1766
agusia06	2017-03-09	e265
Sark4zm	2017-03-09	a1228
kolega69	2017-03-09	e851
Slayer	2017-03-09	e119
radeonmaster	2017-03-09	a935
Nitashi	2017-03-09	e853
maja883	2017-03-09	e815
Fubu	2017-03-09	a843
Proteam_98	2017-03-09	e458
Delior	2017-03-09	e1596
core2duo	2017-03-09	e803
21procent	2017-03-09	e1461
marcinek223	2017-03-09	e1446
ktosoj	2017-03-09	a1557
Zenek512	2017-03-09	a1570
tytus35	2017-03-09	e237
seba	2017-03-09	e342
Blass	2017-03-09	e1924
monstermash	2017-03-09	e1421
Blink69	2017-03-09	e193
KennyS	2017-03-09	a898
2foru	2017-03-09	a1334
monstermash	2017-03-09	e1999
oliwja1235	2017-03-09	a1989
Oli55	2017-03-09	e2073
martynka1234	2017-03-09	e1467
sami123	2017-03-09	e1048
ktosoj	2017-03-09	e214
jeff	2017-03-09	e1666
HuanPablo	2017-03-09	a849
oszza99	2017-03-09	e2038
matis213	2017-03-09	e1489
CAMYFR	2017-03-09	e303
Flacuszek	2017-03-09	e1920
Lucky	2017-03-09	e595
XxZorajxX	2017-03-09	a514
GR00VY	2017-03-10	a1862
monstermash	2017-03-10	a1426
pro__n00b	2017-03-10	e1315
kolega69	2017-03-10	e339
ktosoj	2017-03-10	e1710
endrju678	2017-03-10	e1461
ktosoj	2017-03-10	a976
superman	2017-03-10	e301
Slayer	2017-03-10	e1369
BobRoss	2017-03-10	e393
agatek602	2017-03-10	e336
AestheticAF	2017-03-10	e577
Dontlosehope	2017-03-10	e105
Dontlosehope	2017-03-10	a2079
elomelo5	2017-03-10	e1162
CorsaAMG700km	2017-03-10	e1034
szalonaona99	2017-03-10	e165
jumpjet	2017-03-10	e353
bigos00	2017-03-10	e1907
ambitna007	2017-03-10	a441
MagikarpIsOP	2017-03-10	a219
Blejd	2017-03-10	e1533
atasa52	2017-03-10	e256
player	2017-03-10	e400
AdibA	2017-03-10	e1574
pattric	2017-03-10	e1323
pzdr	2017-03-10	e2061
zawszerazem4	2017-03-10	a1622
